Site;Chronicle;Rate;H Error
1.0;0.0;1.0;0.0
1.0;0.0;2.0;0.0038793230649175
1.0;0.0;7.0;0.0162088957219168
1.0;0.0;15.0;0.0259828282694254
1.0;0.0;21.0;0.0319767968742023
1.0;0.0;30.0;0.0425305241829691
1.0;0.0;45.0;0.0589360085450578
1.0;0.0;50.0;0.0641227286941075
1.0;0.0;60.0;0.0759114644001612
1.0;0.0;75.0;0.0850912692667235
1.0;0.0;90.0;0.1054010146558668
1.0;0.0;100.0;0.1080604821071567
1.0;0.0;125.0;0.1334471376761859
1.0;0.0;150.0;0.1531843987217754
1.0;0.0;182.0;0.193913249256011
1.0;0.0;200.0;0.1821149172354826
1.0;0.0;250.0;0.2259141665346465
1.0;0.0;300.0;0.2414259499518798
1.0;0.0;330.0;0.2314316881540319
1.0;0.0;365.0;0.2364798653552871
1.0;0.0;550.0;0.2900564304779044
1.0;0.0;640.0;0.2850541505936022
1.0;0.0;730.0;0.3066294603669017
1.0;0.0;1000.0;0.3014701118256105
1.0;0.0;1500.0;0.3406870273708929
1.0;0.0;2000.0;0.3721021215926988
1.0;0.0;2250.0;0.3718740962113506
1.0;0.0;3000.0;0.4106378809215129
1.0;0.0;3182.0;0.4190915847552413
1.0;0.0;3652.0;0.4135006551951883
3.0;0.0;1.0;0.0
3.0;0.0;2.0;0.0037050268572391
3.0;0.0;7.0;0.015395923499432
3.0;0.0;15.0;0.0247068749615544
3.0;0.0;21.0;0.0298742911367728
3.0;0.0;30.0;0.0404493979934081
3.0;0.0;45.0;0.0572461092776707
3.0;0.0;50.0;0.0631284603041809
3.0;0.0;60.0;0.074938125136267
3.0;0.0;75.0;0.0829605078650181
3.0;0.0;90.0;0.1027571012342629
3.0;0.0;100.0;0.1047504451817718
3.0;0.0;125.0;0.1290618985073051
3.0;0.0;150.0;0.143212282321829
3.0;0.0;182.0;0.1874998532504132
3.0;0.0;200.0;0.1694793974994916
3.0;0.0;250.0;0.2144490685793272
3.0;0.0;300.0;0.2277600513216024
3.0;0.0;330.0;0.2165729030477833
3.0;0.0;365.0;0.2184592788548915
3.0;0.0;550.0;0.2559886711365289
3.0;0.0;640.0;0.255595994638107
3.0;0.0;730.0;0.2706465721432402
3.0;0.0;1000.0;0.2693321170881353
3.0;0.0;1500.0;0.2990277063965513
3.0;0.0;2000.0;0.3139670065449404
3.0;0.0;2250.0;0.3223943844580074
3.0;0.0;3000.0;0.3507373352100968
3.0;0.0;3182.0;0.3469880273256615
3.0;0.0;3652.0;0.3404824929883649
4.0;0.0;1.0;0.0
4.0;0.0;2.0;0.0029038378128997
4.0;0.0;7.0;0.0135430090036463
4.0;0.0;15.0;0.0176096892067354
4.0;0.0;21.0;0.0241526308023985
4.0;0.0;30.0;0.0343745209691433
4.0;0.0;45.0;0.0552578951093874
4.0;0.0;50.0;0.0633693474709858
4.0;0.0;60.0;0.0777451642775314
4.0;0.0;75.0;0.0982052033382978
4.0;0.0;90.0;0.1283290709635083
4.0;0.0;100.0;0.1114075886098514
4.0;0.0;125.0;0.163197903996308
4.0;0.0;150.0;0.2115850379860203
4.0;0.0;182.0;0.2632623530631015
4.0;0.0;200.0;0.2635262721431864
4.0;0.0;250.0;0.3387741161680692
4.0;0.0;300.0;0.3495337236515923
4.0;0.0;330.0;0.3409660000075389
4.0;0.0;365.0;0.3843631902014273
4.0;0.0;550.0;0.5836783375700465
4.0;0.0;640.0;0.483693769577769
4.0;0.0;730.0;0.5794391772227295
4.0;0.0;1000.0;0.5548697726921938
4.0;0.0;1500.0;0.6757811779470352
4.0;0.0;2000.0;0.7862158835108852
4.0;0.0;2250.0;0.6778876044805521
4.0;0.0;3000.0;0.7616394930317648
4.0;0.0;3182.0;0.8001242609465113
4.0;0.0;3652.0;0.784027044277768
7.0;0.0;1.0;0.0
7.0;0.0;2.0;0.0030580677191298
7.0;0.0;7.0;0.0148834131981546
7.0;0.0;15.0;0.0215394103842606
7.0;0.0;21.0;0.0241524142781613
7.0;0.0;30.0;0.0316583333666094
7.0;0.0;45.0;0.0451398224983757
7.0;0.0;50.0;0.048759907806012
7.0;0.0;60.0;0.0589905795479446
7.0;0.0;75.0;0.0675783894922642
7.0;0.0;90.0;0.086542647569335
7.0;0.0;100.0;0.0904205207984803
7.0;0.0;125.0;0.1136800812151878
7.0;0.0;150.0;0.1344790475560377
7.0;0.0;182.0;0.1821309914129173
7.0;0.0;200.0;0.1615247634280897
7.0;0.0;250.0;0.2107351731687922
7.0;0.0;300.0;0.2281378727600592
7.0;0.0;330.0;0.217848306760813
7.0;0.0;365.0;0.2199584496227709
7.0;0.0;550.0;0.2663518283578356
7.0;0.0;640.0;0.3082271350654137
7.0;0.0;730.0;0.2874353576477332
7.0;0.0;1000.0;0.2831099833434623
7.0;0.0;1500.0;0.3139048393063646
7.0;0.0;2000.0;0.3626349146867626
7.0;0.0;2250.0;0.3876151338254222
7.0;0.0;3000.0;0.4445616320493717
7.0;0.0;3182.0;0.4465673311112902
7.0;0.0;3652.0;0.4438459728656725
8.0;0.0;1.0;0.0
8.0;0.0;2.0;0.0024292213964008
8.0;0.0;7.0;0.0098897397031194
8.0;0.0;15.0;0.0155699495178959
8.0;0.0;21.0;0.0205921143023982
8.0;0.0;30.0;0.0261748518897128
8.0;0.0;45.0;0.0370042592729786
8.0;0.0;50.0;0.0411498392865107
8.0;0.0;60.0;0.0492114794156571
8.0;0.0;75.0;0.0551663282849413
8.0;0.0;90.0;0.0692507301025263
8.0;0.0;100.0;0.0671801751349022
8.0;0.0;125.0;0.0867459868794762
8.0;0.0;150.0;0.1005145086384872
8.0;0.0;182.0;0.1350018125779318
8.0;0.0;200.0;0.1208756437345863
8.0;0.0;250.0;0.1569619144352859
8.0;0.0;300.0;0.1632286421426053
8.0;0.0;330.0;0.1660540117796344
8.0;0.0;365.0;0.1669176491637847
8.0;0.0;550.0;0.2280712151792872
8.0;0.0;640.0;0.2008596401682099
8.0;0.0;730.0;0.2290698705623457
8.0;0.0;1000.0;0.2289059246595119
8.0;0.0;1500.0;0.2532919976307358
8.0;0.0;2000.0;0.307444958247462
8.0;0.0;2250.0;0.2546218590381737
8.0;0.0;3000.0;0.2952458709989269
8.0;0.0;3182.0;0.3077574339344336
8.0;0.0;3652.0;0.2988454033579271
10.0;0.0;1.0;0.0
10.0;0.0;2.0;0.0036961359926021
10.0;0.0;7.0;0.0149153057926668
10.0;0.0;15.0;0.0245984761310134
10.0;0.0;21.0;0.0299447072943751
10.0;0.0;30.0;0.0396167202369016
10.0;0.0;45.0;0.0553832776252949
10.0;0.0;50.0;0.0593835806914336
10.0;0.0;60.0;0.0679561298715281
10.0;0.0;75.0;0.0761342205895982
10.0;0.0;90.0;0.0915538363720714
10.0;0.0;100.0;0.0973990073949321
10.0;0.0;125.0;0.1156747671790141
10.0;0.0;150.0;0.1256386317341979
10.0;0.0;182.0;0.1694940808176965
10.0;0.0;200.0;0.1505735497916813
10.0;0.0;250.0;0.1848443211412745
10.0;0.0;300.0;0.1946450490325681
10.0;0.0;330.0;0.190248519479968
10.0;0.0;365.0;0.1919192240305992
10.0;0.0;550.0;0.2098037967334995
10.0;0.0;640.0;0.2109924146432494
10.0;0.0;730.0;0.2219972819663322
10.0;0.0;1000.0;0.2195961274154312
10.0;0.0;1500.0;0.2398609081321402
10.0;0.0;2000.0;0.2529439373271915
10.0;0.0;2250.0;0.2617802626837504
10.0;0.0;3000.0;0.2852854471786938
10.0;0.0;3182.0;0.2814243423319297
10.0;0.0;3652.0;0.277418471559083
11.0;0.0;1.0;0.0
11.0;0.0;2.0;0.0019370712288229
11.0;0.0;7.0;0.007095871537476
11.0;0.0;15.0;0.0120509099789133
11.0;0.0;21.0;0.0145232402357078
11.0;0.0;30.0;0.020072089411818
11.0;0.0;45.0;0.0261210016407048
11.0;0.0;50.0;0.0284514783161753
11.0;0.0;60.0;0.033546352924242
11.0;0.0;75.0;0.0368904258739981
11.0;0.0;90.0;0.0435498926878454
11.0;0.0;100.0;0.0450395001628755
11.0;0.0;125.0;0.0536194455200638
11.0;0.0;150.0;0.0598230567838327
11.0;0.0;182.0;0.0809120145894057
11.0;0.0;200.0;0.0702273222818131
11.0;0.0;250.0;0.0852140154232992
11.0;0.0;300.0;0.0890154277610986
11.0;0.0;330.0;0.0959083060330537
11.0;0.0;365.0;0.1027263425009789
11.0;0.0;550.0;0.1610933945548384
11.0;0.0;640.0;0.1117133331586725
11.0;0.0;730.0;0.1622678540420822
11.0;0.0;1000.0;0.1434957831452464
11.0;0.0;1500.0;0.1798236225330244
11.0;0.0;2000.0;0.2277905822790657
11.0;0.0;2250.0;0.1863135281795742
11.0;0.0;3000.0;0.2125360268924517
11.0;0.0;3182.0;0.2254410217221132
11.0;0.0;3652.0;0.2201414820862259
12.0;0.0;1.0;0.0
12.0;0.0;2.0;0.0031172366230168
12.0;0.0;7.0;0.0119980742691852
12.0;0.0;15.0;0.0202381603996584
12.0;0.0;21.0;0.0255436737593257
12.0;0.0;30.0;0.0336530456759948
12.0;0.0;45.0;0.0456663647764526
12.0;0.0;50.0;0.048765820416689
12.0;0.0;60.0;0.0557106477275746
12.0;0.0;75.0;0.0617143037051616
12.0;0.0;90.0;0.0730083632551525
12.0;0.0;100.0;0.075515837203816
12.0;0.0;125.0;0.0892199128887487
12.0;0.0;150.0;0.0962223954294124
12.0;0.0;182.0;0.1222048385002407
12.0;0.0;200.0;0.1097959090683453
12.0;0.0;250.0;0.1354973370815109
12.0;0.0;300.0;0.1399019202106291
12.0;0.0;330.0;0.1373040463940995
12.0;0.0;365.0;0.1401841306625733
12.0;0.0;550.0;0.1648644901701096
12.0;0.0;640.0;0.1571672918013276
12.0;0.0;730.0;0.1678353858801527
12.0;0.0;1000.0;0.1657508014468537
12.0;0.0;1500.0;0.1798460402914341
12.0;0.0;2000.0;0.2004849205789094
12.0;0.0;2250.0;0.1929481981907597
12.0;0.0;3000.0;0.2099046225966859
12.0;0.0;3182.0;0.213048401364416
12.0;0.0;3652.0;0.2076715457193804
13.0;0.0;1.0;0.0
13.0;0.0;2.0;0.0022063438684162
13.0;0.0;7.0;0.0079049822077504
13.0;0.0;15.0;0.0131027301018794
13.0;0.0;21.0;0.0163134425363499
13.0;0.0;30.0;0.021215598309817
13.0;0.0;45.0;0.0288174603152483
13.0;0.0;50.0;0.0304267922884734
13.0;0.0;60.0;0.0346905965629798
13.0;0.0;75.0;0.0387243201545047
13.0;0.0;90.0;0.0459743068795799
13.0;0.0;100.0;0.0469526408581791
13.0;0.0;125.0;0.0553150340899671
13.0;0.0;150.0;0.0594677090973026
13.0;0.0;182.0;0.0731496298288549
13.0;0.0;200.0;0.0658171901360725
13.0;0.0;250.0;0.0779261402350436
13.0;0.0;300.0;0.0792644259288585
13.0;0.0;330.0;0.0779433827626115
13.0;0.0;365.0;0.0799346362186648
13.0;0.0;550.0;0.087027515571261
13.0;0.0;640.0;0.0849612236094247
13.0;0.0;730.0;0.0884871835852028
13.0;0.0;1000.0;0.0883850470404615
13.0;0.0;1500.0;0.0939969184671416
13.0;0.0;2000.0;0.0970225067681391
13.0;0.0;2250.0;0.0950715610308494
13.0;0.0;3000.0;0.0998605746589843
13.0;0.0;3182.0;0.100627638858427
13.0;0.0;3652.0;0.0993700430118872
14.0;0.0;1.0;0.0
14.0;0.0;2.0;0.0025659666410965
14.0;0.0;7.0;0.0103738358831147
14.0;0.0;15.0;0.0168416848858304
14.0;0.0;21.0;0.0202724122122124
14.0;0.0;30.0;0.0275341640025388
14.0;0.0;45.0;0.0388811593027748
14.0;0.0;50.0;0.0415347739756035
14.0;0.0;60.0;0.0489192562488914
14.0;0.0;75.0;0.0546117941971823
14.0;0.0;90.0;0.0669928669115922
14.0;0.0;100.0;0.068680108288561
14.0;0.0;125.0;0.0833140874338638
14.0;0.0;150.0;0.0918619289379249
14.0;0.0;182.0;0.1215173863507666
14.0;0.0;200.0;0.1069115659894321
14.0;0.0;250.0;0.1365794657922444
14.0;0.0;300.0;0.1450425063164491
14.0;0.0;330.0;0.1420255296298411
14.0;0.0;365.0;0.1425932016706186
14.0;0.0;550.0;0.1779987806038242
14.0;0.0;640.0;0.1695171431140686
14.0;0.0;730.0;0.1853542925340359
14.0;0.0;1000.0;0.1822949300554637
14.0;0.0;1500.0;0.2052838878657032
14.0;0.0;2000.0;0.2389230922334167
14.0;0.0;2250.0;0.2532539698891539
14.0;0.0;3000.0;0.282433542329905
14.0;0.0;3182.0;0.2794139713109449
14.0;0.0;3652.0;0.2711404842844023
15.0;0.0;1.0;0.0
15.0;0.0;2.0;0.006634684505364
15.0;0.0;7.0;0.0311773625577056
15.0;0.0;15.0;0.0513970717384473
15.0;0.0;21.0;0.06022038573683
15.0;0.0;30.0;0.0825331753189077
15.0;0.0;45.0;0.1235389878871018
15.0;0.0;50.0;0.1311647698776999
15.0;0.0;60.0;0.1600636107227578
15.0;0.0;75.0;0.180461623614826
15.0;0.0;90.0;0.2366167660152137
15.0;0.0;100.0;0.2337417479616417
15.0;0.0;125.0;0.3297969187112146
15.0;0.0;150.0;0.3410098277260219
15.0;0.0;182.0;0.4957286907657203
15.0;0.0;200.0;0.4355509333067073
15.0;0.0;250.0;0.5977122408648733
15.0;0.0;300.0;0.6190038122194393
15.0;0.0;330.0;0.5616513171258777
15.0;0.0;365.0;0.5986284345185184
15.0;0.0;550.0;0.7031895747763489
15.0;0.0;640.0;0.7198615826971494
15.0;0.0;730.0;0.7549130005430196
15.0;0.0;1000.0;0.774655160833859
15.0;0.0;1500.0;0.8513748100498971
15.0;0.0;2000.0;0.8974438894037763
15.0;0.0;2250.0;1.0169330914112529
15.0;0.0;3000.0;1.0472826276909657
15.0;0.0;3182.0;1.0833459578065228
15.0;0.0;3652.0;1.1253996205961938
16.0;0.0;1.0;0.0
16.0;0.0;2.0;0.0031220060443771
16.0;0.0;7.0;0.0119243259775783
16.0;0.0;15.0;0.0202042268021913
16.0;0.0;21.0;0.0239631484988848
16.0;0.0;30.0;0.0353137113675942
16.0;0.0;45.0;0.0496047517559637
16.0;0.0;50.0;0.0476057072960049
16.0;0.0;60.0;0.0567602945941713
16.0;0.0;75.0;0.0725509104538725
16.0;0.0;90.0;0.0895169299721877
16.0;0.0;100.0;0.0844783754487946
16.0;0.0;125.0;0.1091538112510357
16.0;0.0;150.0;0.121042185801159
16.0;0.0;182.0;0.170593776057579
16.0;0.0;200.0;0.1472520048747115
16.0;0.0;250.0;0.1853370885227453
16.0;0.0;300.0;0.1950362037691826
16.0;0.0;330.0;0.1923197640242285
16.0;0.0;365.0;0.2097726621222561
16.0;0.0;550.0;0.242791000598593
16.0;0.0;640.0;0.2362747524701068
16.0;0.0;730.0;0.2551800239400359
16.0;0.0;1000.0;0.2542675470863599
16.0;0.0;1500.0;0.2763248056884269
16.0;0.0;2000.0;0.3300881135131431
16.0;0.0;2250.0;0.2830557734189099
16.0;0.0;3000.0;0.3076541208229284
16.0;0.0;3182.0;0.318566605216342
16.0;0.0;3652.0;0.3146286910434445
17.0;0.0;1.0;0.0
17.0;0.0;2.0;0.0036195277470909
17.0;0.0;7.0;0.0154406150457085
17.0;0.0;15.0;0.0249713462213946
17.0;0.0;21.0;0.0305220198069751
17.0;0.0;30.0;0.0413325160789286
17.0;0.0;45.0;0.0588386845126401
17.0;0.0;50.0;0.064206476630692
17.0;0.0;60.0;0.076728299538617
17.0;0.0;75.0;0.086416666848223
17.0;0.0;90.0;0.1067295865950587
17.0;0.0;100.0;0.1097283449180419
17.0;0.0;125.0;0.1360395383093257
17.0;0.0;150.0;0.1530052158717392
17.0;0.0;182.0;0.1967703504900904
17.0;0.0;200.0;0.1794890293048382
17.0;0.0;250.0;0.2208850390626014
