Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Slope,Elevation,LC,CW,Area,CV,HV
1,0,0,0,1,34367,15341,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.003879323064918,2,18464,7671,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.016208931751114,7,8508,2193,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.042276779085203,30,4571,513,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.104920063364805,90,3263,172,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.194366927519514,182,2077,86,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.237224159824465,365,1282,44,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.308100170696464,730,721,23,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.415729681528989,3652,214,6,0.017383,14.031,1575,2.2527,57077000,1906,1033
2,0,0,0,1,23960,15341,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.003658672945089,2,14158,7671,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.015076875601596,7,6439,2193,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.039812502752155,30,3534,513,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.100746369170639,90,2456,172,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.179275241564548,182,1492,86,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.212656511370183,365,915,44,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.267916917327962,730,471,23,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.341718787355827,3652,133,6,0.0029846,8.0214,1725,2.2279,16571000,720,308
3,0,0,0,1,29595,15341,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.003705026857239,2,17685,7671,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.015395923499432,7,8354,2193,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.040449397993408,30,4271,513,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.102757101234263,90,2890,172,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.187499853250413,182,1535,86,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.218459278854891,365,1043,44,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.27064657214324,730,579,23,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.340482492988365,3652,152,6,0.00057374,10.704,1425,2.0877,20256000,831,561
4,0,0,0,1,3870,15341,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.0029038378129,2,2166,7671,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.013543009003646,7,880,2193,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.034374520969143,30,438,513,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.128329070963508,90,300,172,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.263262353063101,182,143,86,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.384363190201427,365,85,44,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.579439177222729,730,47,23,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.784027044277768,3652,16,6,0.023758,11.237,1425,2.5802,5203100,140,83
5,0,0,0,1,24946,15341,0.013448,19.03,1500,2.2267,69126000,656,2365
5,0,0,0.002820796655748,2,14392,7671,0.013448,19.03,1500,2.2267,69126000,656,2365
5,0,0,0.010667422162572,7,6223,2193,0.013448,19.03,1500,2.2267,69126000,656,2365
5,0,0,0.028535582567597,30,2994,513,0.013448,19.03,1500,2.2267,69126000,656,2365
5,0,0,0.062101364574536,90,2094,172,0.013448,19.03,1500,2.2267,69126000,656,2365
5,0,0,0.107946934331125,182,1257,86,0.013448,19.03,1500,2.2267,69126000,656,2365
5,0,0,0.11920332890852,365,787,44,0.013448,19.03,1500,2.2267,69126000,656,2365
5,0,0,0.142032124216469,730,441,23,0.013448,19.03,1500,2.2267,69126000,656,2365
5,0,0,0.181815042325129,3652,112,6,0.013448,19.03,1500,2.2267,69126000,656,2365
6,0,0,0,1,24895,15341,0.036538,12.06,1425,2.4961,20902000,440,494
6,0,0,0.002899632301433,2,14352,7671,0.036538,12.06,1425,2.4961,20902000,440,494
6,0,0,0.011789129077851,7,6338,2193,0.036538,12.06,1425,2.4961,20902000,440,494
6,0,0,0.032660802193272,30,3161,513,0.036538,12.06,1425,2.4961,20902000,440,494
6,0,0,0.073575109878272,90,2148,172,0.036538,12.06,1425,2.4961,20902000,440,494
6,0,0,0.129724891611524,182,1212,86,0.036538,12.06,1425,2.4961,20902000,440,494
6,0,0,0.153030246331145,365,747,44,0.036538,12.06,1425,2.4961,20902000,440,494
6,0,0,0.188627526565316,730,391,23,0.036538,12.06,1425,2.4961,20902000,440,494
6,0,0,0.223702708298762,3652,93,6,0.036538,12.06,1425,2.4961,20902000,440,494
7,0,0,0,1,12808,15341,0.017869,37.15,1350,2.1056,27810000,1,439
7,0,0,0.003441139038262,2,7104,7671,0.017869,37.15,1350,2.1056,27810000,1,439
7,0,0,0.014883413198155,7,2917,2193,0.017869,37.15,1350,2.1056,27810000,1,439
7,0,0,0.035708338713464,30,1532,513,0.017869,37.15,1350,2.1056,27810000,1,439
7,0,0,0.097458519929433,90,1085,172,0.017869,37.15,1350,2.1056,27810000,1,439
7,0,0,0.203827175171062,182,615,86,0.017869,37.15,1350,2.1056,27810000,1,439
7,0,0,0.245893749702176,365,547,44,0.017869,37.15,1350,2.1056,27810000,1,439
7,0,0,0.320727628148534,730,203,23,0.017869,37.15,1350,2.1056,27810000,1,439
7,0,0,0.492516007320963,3652,55,6,0.017869,37.15,1350,2.1056,27810000,1,439
8,0,0,0,1,18714,15341,0.021748,6.9778,1650,2.0095,5220000,159,129
8,0,0,0.002552339120523,2,10985,7671,0.021748,6.9778,1650,2.0095,5220000,159,129
8,0,0,0.010354655612732,7,4689,2193,0.021748,6.9778,1650,2.0095,5220000,159,129
8,0,0,0.027424166864214,30,2458,513,0.021748,6.9778,1650,2.0095,5220000,159,129
8,0,0,0.072254638760662,90,1777,172,0.021748,6.9778,1650,2.0095,5220000,159,129
8,0,0,0.141178658118358,182,1089,86,0.021748,6.9778,1650,2.0095,5220000,159,129
8,0,0,0.174201899249046,365,662,44,0.021748,6.9778,1650,2.0095,5220000,159,129
8,0,0,0.239244213808131,730,382,23,0.021748,6.9778,1650,2.0095,5220000,159,129
8,0,0,0.311316859852683,3652,80,6,0.021748,6.9778,1650,2.0095,5220000,159,129
9,0,0,0,1,38050,15341,0.0094,7.9139,1800,2.0684,46513000,841,1156
10,0,0,0,1,50764,15341,0.0048044,15.404,1575,1.5889,57802000,1191,1902
10,0,0,0.003696135992602,2,32101,7671,0.0048044,15.404,1575,1.5889,57802000,1191,1902
10,0,0,0.014915305792667,7,14541,2193,0.0048044,15.404,1575,1.5889,57802000,1191,1902
10,0,0,0.039616720236902,30,7555,513,0.0048044,15.404,1575,1.5889,57802000,1191,1902
10,0,0,0.091553836372071,90,5179,172,0.0048044,15.404,1575,1.5889,57802000,1191,1902
10,0,0,0.169494080817697,182,3122,86,0.0048044,15.404,1575,1.5889,57802000,1191,1902
10,0,0,0.191919224030599,365,2076,44,0.0048044,15.404,1575,1.5889,57802000,1191,1902
10,0,0,0.221997281966332,730,1130,23,0.0048044,15.404,1575,1.5889,57802000,1191,1902
10,0,0,0.277418471559083,3652,350,6,0.0048044,15.404,1575,1.5889,57802000,1191,1902
11,0,0,0,1,5906,15341,0.0054417,13.099,1650,2.9142,32676000,608,1057
11,0,0,0.001990792021656,2,3490,7671,0.0054417,13.099,1650,2.9142,32676000,608,1057
11,0,0,0.007301377271237,7,1567,2193,0.0054417,13.099,1650,2.9142,32676000,608,1057
11,0,0,0.020072089411818,30,877,513,0.0054417,13.099,1650,2.9142,32676000,608,1057
11,0,0,0.043128526095224,90,627,172,0.0054417,13.099,1650,2.9142,32676000,608,1057
11,0,0,0.077367065167389,182,386,86,0.0054417,13.099,1650,2.9142,32676000,608,1057
11,0,0,0.095348762928067,365,230,44,0.0054417,13.099,1650,2.9142,32676000,608,1057
11,0,0,0.141838745918929,730,124,23,0.0054417,13.099,1650,2.9142,32676000,608,1057
11,0,0,0.195489119555622,3652,28,6,0.0054417,13.099,1650,2.9142,32676000,608,1057
12,0,0,0,1,47713,15341,0.041692,15.048,1425,2.0142,95816000,2394,2320
12,0,0,0.003117236623017,2,29891,7671,0.041692,15.048,1425,2.0142,95816000,2394,2320
12,0,0,0.011998074269185,7,13076,2193,0.041692,15.048,1425,2.0142,95816000,2394,2320
12,0,0,0.033653045675995,30,6740,513,0.041692,15.048,1425,2.0142,95816000,2394,2320
12,0,0,0.073008363255153,90,4702,172,0.041692,15.048,1425,2.0142,95816000,2394,2320
12,0,0,0.122204838500241,182,2852,86,0.041692,15.048,1425,2.0142,95816000,2394,2320
12,0,0,0.140184130662573,365,1776,44,0.041692,15.048,1425,2.0142,95816000,2394,2320
12,0,0,0.167835385880153,730,1014,23,0.041692,15.048,1425,2.0142,95816000,2394,2320
12,0,0,0.20767154571938,3652,332,6,0.041692,15.048,1425,2.0142,95816000,2394,2320
13,0,0,0,1,1849,15341,0.017,7.6422,1650,2.9322,15452000,515,309
13,0,0,0.002397469368301,2,1071,7671,0.017,7.6422,1650,2.9322,15452000,515,309
13,0,0,0.008977617892355,7,489,2193,0.017,7.6422,1650,2.9322,15452000,515,309
13,0,0,0.025048160286771,30,271,513,0.017,7.6422,1650,2.9322,15452000,515,309
13,0,0,0.056998307803567,90,179,172,0.017,7.6422,1650,2.9322,15452000,515,309
13,0,0,0.089842233684559,182,95,86,0.017,7.6422,1650,2.9322,15452000,515,309
13,0,0,0.100827408595029,365,54,44,0.017,7.6422,1650,2.9322,15452000,515,309
13,0,0,0.116152756258412,730,27,23,0.017,7.6422,1650,2.9322,15452000,515,309
13,0,0,0.140321957456092,3652,3,6,0.017,7.6422,1650,2.9322,15452000,515,309
14,0,0,0,1,35348,15341,0.018148,40.589,1425,1.7481,52751000,33,1653
14,0,0,0.010373835883115,7,9931,2193,0.018148,40.589,1425,1.7481,52751000,33,1653
14,0,0,0.027534164002539,30,5317,513,0.018148,40.589,1425,1.7481,52751000,33,1653
14,0,0,0.066992866911592,90,3694,172,0.018148,40.589,1425,1.7481,52751000,33,1653
14,0,0,0.121517386350767,182,2283,86,0.018148,40.589,1425,1.7481,52751000,33,1653
14,0,0,0.142593201670619,365,1435,44,0.018148,40.589,1425,1.7481,52751000,33,1653
14,0,0,0.185354292534036,730,787,23,0.018148,40.589,1425,1.7481,52751000,33,1653
15,0,0,0,1,14391,15341,0.026241,19.189,1500,3.2359,4303100,44,31
15,0,0,0.006634684505364,2,8606,7671,0.026241,19.189,1500,3.2359,4303100,44,31
15,0,0,0.031177362557706,7,3779,2193,0.026241,19.189,1500,3.2359,4303100,44,31
15,0,0,0.082533175318908,30,1953,513,0.026241,19.189,1500,3.2359,4303100,44,31
15,0,0,0.236616766015214,90,1420,172,0.026241,19.189,1500,3.2359,4303100,44,31
15,0,0,0.49572869076572,182,798,86,0.026241,19.189,1500,3.2359,4303100,44,31
15,0,0,0.598628434518518,365,445,44,0.026241,19.189,1500,3.2359,4303100,44,31
15,0,0,0.75491300054302,730,243,23,0.026241,19.189,1500,3.2359,4303100,44,31
15,0,0,1.12539962059619,3652,50,6,0.026241,19.189,1500,3.2359,4303100,44,31
16,0,0,0,1,25969,15341,0.028223,29.454,1725,2.3301,81242000,1815,1330
16,0,0,0.013202623396897,7,6902,2193,0.028223,29.454,1725,2.3301,81242000,1815,1330
16,0,0,0.035313711367594,30,3811,513,0.028223,29.454,1725,2.3301,81242000,1815,1330
16,0,0,0.089516929972188,90,2760,172,0.028223,29.454,1725,2.3301,81242000,1815,1330
16,0,0,0.170593776057579,182,1693,86,0.028223,29.454,1725,2.3301,81242000,1815,1330
16,0,0,0.209772662122256,365,1075,44,0.028223,29.454,1725,2.3301,81242000,1815,1330
16,0,0,0.268000150112822,730,575,23,0.028223,29.454,1725,2.3301,81242000,1815,1330
16,0,0,0.337487744807136,3652,147,6,0.028223,29.454,1725,2.3301,81242000,1815,1330
17,0,0,0,1,16901,15341,0.0094464,30.539,1575,2.4613,61779000,185,1537
17,0,0,0.003619527747091,2,9615,7671,0.0094464,30.539,1575,2.4613,61779000,185,1537
17,0,0,0.015440615045709,7,4092,2193,0.0094464,30.539,1575,2.4613,61779000,185,1537
17,0,0,0.041332516078929,30,2099,513,0.0094464,30.539,1575,2.4613,61779000,185,1537
17,0,0,0.106729586595059,90,1449,172,0.0094464,30.539,1575,2.4613,61779000,185,1537
17,0,0,0.19677035049009,182,883,86,0.0094464,30.539,1575,2.4613,61779000,185,1537
17,0,0,0.233553332587307,365,512,44,0.0094464,30.539,1575,2.4613,61779000,185,1537
17,0,0,0.29455315204539,730,279,23,0.0094464,30.539,1575,2.4613,61779000,185,1537
17,0,0,0.360705584925762,3652,66,6,0.0094464,30.539,1575,2.4613,61779000,185,1537
18,0,0,0,1,1986,15341,0.020719,6.3567,1425,2.2444,10912000,270,43
18,0,0,0.002037977189366,2,1107,7671,0.020719,6.3567,1425,2.2444,10912000,270,43
18,0,0,0.007650041334844,7,498,2193,0.020719,6.3567,1425,2.2444,10912000,270,43
18,0,0,0.020017477418144,30,263,513,0.020719,6.3567,1425,2.2444,10912000,270,43
18,0,0,0.048151453183462,90,181,172,0.020719,6.3567,1425,2.2444,10912000,270,43
18,0,0,0.096484952074684,182,100,86,0.020719,6.3567,1425,2.2444,10912000,270,43
18,0,0,0.114515849750311,365,50,44,0.020719,6.3567,1425,2.2444,10912000,270,43
18,0,0,0.137043176056137,730,27,23,0.020719,6.3567,1425,2.2444,10912000,270,43
18,0,0,0.150324505594748,3652,5,6,0.020719,6.3567,1425,2.2444,10912000,270,43
19,0,0,0,1,8436,15341,0.0081185,2.4609,1725,2.6646,42446000,4766,251
19,0,0,0.005335020768088,2,5258,7671,0.0081185,2.4609,1725,2.6646,42446000,4766,251
19,0,0,0.022290149864355,7,2866,2193,0.0081185,2.4609,1725,2.6646,42446000,4766,251
19,0,0,0.064155255707549,30,1682,513,0.0081185,2.4609,1725,2.6646,42446000,4766,251
19,0,0,0.146497487838171,90,1212,172,0.0081185,2.4609,1725,2.6646,42446000,4766,251
19,0,0,0.243713305704281,182,750,86,0.0081185,2.4609,1725,2.6646,42446000,4766,251
19,0,0,0.276100406521382,365,432,44,0.0081185,2.4609,1725,2.6646,42446000,4766,251
19,0,0,0.300929063985679,730,201,23,0.0081185,2.4609,1725,2.6646,42446000,4766,251
19,0,0,0.331795404974718,3652,37,6,0.0081185,2.4609,1725,2.6646,42446000,4766,251
20,0,0,0,1,45139,15341,0.01503,11.743,1575,2.6242,36844000,886,1043
20,0,0,0.002984996234331,2,27165,7671,0.01503,11.743,1575,2.6242,36844000,886,1043
20,0,0,0.012403614336042,7,12734,2193,0.01503,11.743,1575,2.6242,36844000,886,1043
20,0,0,0.036303523284337,30,6652,513,0.01503,11.743,1575,2.6242,36844000,886,1043
20,0,0,0.093973820416092,90,4688,172,0.01503,11.743,1575,2.6242,36844000,886,1043
20,0,0,0.15808305697158,182,2752,86,0.01503,11.743,1575,2.6242,36844000,886,1043
20,0,0,0.193924168383158,365,1726,44,0.01503,11.743,1575,2.6242,36844000,886,1043
20,0,0,0.253615651593396,730,941,23,0.01503,11.743,1575,2.6242,36844000,886,1043
20,0,0,0.334161203957648,3652,246,6,0.01503,11.743,1575,2.6242,36844000,886,1043
21,0,0,0,1,14867,15341,0.033795,45.292,1350,2.4379,38571000,0,931
21,0,0,0.003363983382453,2,8381,7671,0.033795,45.292,1350,2.4379,38571000,0,931
21,0,0,0.014190625818833,7,3715,2193,0.033795,45.292,1350,2.4379,38571000,0,931
21,0,0,0.035438953396774,30,1841,513,0.033795,45.292,1350,2.4379,38571000,0,931
21,0,0,0.093413446949368,90,1350,172,0.033795,45.292,1350,2.4379,38571000,0,931
21,0,0,0.191969248642254,182,792,86,0.033795,45.292,1350,2.4379,38571000,0,931
21,0,0,0.234626484342825,365,470,44,0.033795,45.292,1350,2.4379,38571000,0,931
21,0,0,0.300955777798661,730,263,23,0.033795,45.292,1350,2.4379,38571000,0,931
21,0,0,0.339552427034025,3652,61,6,0.033795,45.292,1350,2.4379,38571000,0,931
22,0,0,0,1,17214,15341,0.0096528,32.229,1500,2.1629,67568000,215,2266
22,0,0,0.002562397730434,2,10047,7671,0.0096528,32.229,1500,2.1629,67568000,215,2266
22,0,0,0.010230705661618,7,4377,2193,0.0096528,32.229,1500,2.1629,67568000,215,2266
22,0,0,0.026952018249273,30,1816,513,0.0096528,32.229,1500,2.1629,67568000,215,2266
22,0,0,0.066582634920048,90,1888,172,0.0096528,32.229,1500,2.1629,67568000,215,2266
22,0,0,0.133174424657446,182,1296,86,0.0096528,32.229,1500,2.1629,67568000,215,2266
22,0,0,0.159802943245865,365,766,44,0.0096528,32.229,1500,2.1629,67568000,215,2266
22,0,0,0.216047434107233,730,467,23,0.0096528,32.229,1500,2.1629,67568000,215,2266
22,0,0,0.282165860026995,3652,117,6,0.0096528,32.229,1500,2.1629,67568000,215,2266
23,0,0,0,1,15814,15341,0.073487,13.12,1575,1.5577,3273800,16,15
23,0,0,0.004262792599581,2,9210,7671,0.073487,13.12,1575,1.5577,3273800,16,15
23,0,0,0.020516149672108,7,3865,2193,0.073487,13.12,1575,1.5577,3273800,16,15
23,0,0,0.060175112203281,30,1757,513,0.073487,13.12,1575,1.5577,3273800,16,15
23,0,0,0.165557843069275,90,1149,172,0.073487,13.12,1575,1.5577,3273800,16,15
23,0,0,0.327289330372739,182,612,86,0.073487,13.12,1575,1.5577,3273800,16,15
23,0,0,0.393491303399818,365,361,44,0.073487,13.12,1575,1.5577,3273800,16,15
23,0,0,0.465816562474471,730,168,23,0.073487,13.12,1575,1.5577,3273800,16,15
23,0,0,0.552806126002618,3652,44,6,0.073487,13.12,1575,1.5577,3273800,16,15
24,0,0,0,1,9185,15341,0.038199,5.6431,2700,4.04,3735000,102,23
24,0,0,0.002406794976298,2,5529,7671,0.038199,5.6431,2700,4.04,3735000,102,23
24,0,0,0.011770072135544,7,2251,2193,0.038199,5.6431,2700,4.04,3735000,102,23
24,0,0,0.030664507847899,30,690,513,0.038199,5.6431,2700,4.04,3735000,102,23
24,0,0,0.101023784559261,90,683,172,0.038199,5.6431,2700,4.04,3735000,102,23
24,0,0,0.260205628970361,182,350,86,0.038199,5.6431,2700,4.04,3735000,102,23
24,0,0,0.360081473799469,365,194,44,0.038199,5.6431,2700,4.04,3735000,102,23
24,0,0,0.526406285937333,730,108,23,0.038199,5.6431,2700,4.04,3735000,102,23
24,0,0,0.682757832724479,3652,51,6,0.038199,5.6431,2700,4.04,3735000,102,23
25,0,0,0,1,41137,15341,0.02218,48.571,1350,1.8653,59490000,92,2059
25,0,0,0.002734994863943,2,25212,7671,0.02218,48.571,1350,1.8653,59490000,92,2059
25,0,0,0.011387885969615,7,11463,2193,0.02218,48.571,1350,1.8653,59490000,92,2059
25,0,0,0.028924694875195,30,4081,513,0.02218,48.571,1350,1.8653,59490000,92,2059
25,0,0,0.073497865943012,90,3934,172,0.02218,48.571,1350,1.8653,59490000,92,2059
25,0,0,0.137609810009888,182,2423,86,0.02218,48.571,1350,1.8653,59490000,92,2059
25,0,0,0.158611460044714,365,1569,44,0.02218,48.571,1350,1.8653,59490000,92,2059
25,0,0,0.194033943631825,730,801,23,0.02218,48.571,1350,1.8653,59490000,92,2059
25,0,0,0.239966673627506,3652,212,6,0.02218,48.571,1350,1.8653,59490000,92,2059
26,0,0,0,1,20896,15341,0.020506,33.778,1425,2.3654,31202000,64,528
27,0,0,0,1,35227,15341,0.014051,16.678,1725,2.7998,74036000,1984,3286
27,0,0,0.004082024186571,2,22374,7671,0.014051,16.678,1725,2.7998,74036000,1984,3286
27,0,0,0.016769272000039,7,11236,2193,0.014051,16.678,1725,2.7998,74036000,1984,3286
27,0,0,0.049307735409198,30,6967,513,0.014051,16.678,1725,2.7998,74036000,1984,3286
27,0,0,0.118467990013963,90,5059,172,0.014051,16.678,1725,2.7998,74036000,1984,3286
27,0,0,0.193387296313147,182,2309,86,0.014051,16.678,1725,2.7998,74036000,1984,3286
27,0,0,0.242082405415363,365,2117,44,0.014051,16.678,1725,2.7998,74036000,1984,3286
27,0,0,0.336588567126768,730,1209,23,0.014051,16.678,1725,2.7998,74036000,1984,3286
27,0,0,0.480804572329742,3652,315,6,0.014051,16.678,1725,2.7998,74036000,1984,3286
28,0,0,0,1,5544,15341,0.01485,11.186,1725,2.8374,22202000,1003,448
28,0,0,0.004606022446235,2,3464,7671,0.01485,11.186,1725,2.8374,22202000,1003,448
28,0,0,0.01956178963142,7,1523,2193,0.01485,11.186,1725,2.8374,22202000,1003,448
28,0,0,0.056126814949097,30,810,513,0.01485,11.186,1725,2.8374,22202000,1003,448
28,0,0,0.155074940394586,90,560,172,0.01485,11.186,1725,2.8374,22202000,1003,448
28,0,0,0.266160749072908,182,337,86,0.01485,11.186,1725,2.8374,22202000,1003,448
28,0,0,0.323001715325878,365,188,44,0.01485,11.186,1725,2.8374,22202000,1003,448
28,0,0,0.407930773877383,730,113,23,0.01485,11.186,1725,2.8374,22202000,1003,448
28,0,0,0.555509721909276,3652,19,6,0.01485,11.186,1725,2.8374,22202000,1003,448
29,0,0,0,1,9465,15341,0.0053882,3.0773,1650,2.1762,52942000,5638,395
29,0,0,0.004656731914467,2,6260,7671,0.0053882,3.0773,1650,2.1762,52942000,5638,395
29,0,0,0.01909455134873,7,3808,2193,0.0053882,3.0773,1650,2.1762,52942000,5638,395
29,0,0,0.053278222785618,30,2354,513,0.0053882,3.0773,1650,2.1762,52942000,5638,395
29,0,0,0.117320373035286,90,1731,172,0.0053882,3.0773,1650,2.1762,52942000,5638,395
29,0,0,0.198206002336959,182,1062,86,0.0053882,3.0773,1650,2.1762,52942000,5638,395
29,0,0,0.223271624945774,365,571,44,0.0053882,3.0773,1650,2.1762,52942000,5638,395
29,0,0,0.243326437816205,730,248,23,0.0053882,3.0773,1650,2.1762,52942000,5638,395
29,0,0,0.258750726933377,3652,57,6,0.0053882,3.0773,1650,2.1762,52942000,5638,395
30,0,0,0,1,37655,15341,0.0094,7.9139,1800,2.0684,46513000,841,1156
30,0,0,0.002260870074517,2,25548,7671,0.0094,7.9139,1800,2.0684,46513000,841,1156
30,0,0,0.008188347574339,7,11692,2193,0.0094,7.9139,1800,2.0684,46513000,841,1156
30,0,0,0.021821931671601,30,5150,513,0.0094,7.9139,1800,2.0684,46513000,841,1156
30,0,0,0.047023199012025,90,3910,172,0.0094,7.9139,1800,2.0684,46513000,841,1156
30,0,0,0.08301179280143,182,2437,86,0.0094,7.9139,1800,2.0684,46513000,841,1156
30,0,0,0.094341544064139,365,1496,44,0.0094,7.9139,1800,2.0684,46513000,841,1156
30,0,0,0.119478914818567,730,593,23,0.0094,7.9139,1800,2.0684,46513000,841,1156
30,0,0,0.168161841624186,3652,134,6,0.0094,7.9139,1800,2.0684,46513000,841,1156
